category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Endocrine system,hsa04921,Oxytocin signaling pathway,11/409,155/9500,0.07096774193548387,1.6483949838315326,1.726277505946868,0.07085046075312176,0.40964448217259497,0.37154117217905003,CACNA1C/CACNA1S/RYR2/PRKCB/ADCY7/GNAO1/PRKCA/ROCK2/KCNJ6/CACNA2D2/CACNA2D3,11
Human Diseases,Infectious disease: parasitic,hsa05143,African trypanosomiasis,4/409,37/9500,0.10810810810810811,2.5110685257384526,1.9532839010787664,0.07318313423831194,0.41557565513898564,0.3769206537837871,PRKCB/PRKCA/LAMA4/IDO1,4
Cellular Processes,Cell motility,hsa04810,Regulation of actin cytoskeleton,15/409,232/9500,0.06465517241379311,1.5017705083888375,1.6411598394334965,0.07575325345535383,0.4176069206315883,0.3787629799836319,VCL/DOCK1/F2/SSH3/DIAPH3/SSH2/ACTN4/ROCK2/ITGA6/ABI2/C9/ITGA1/ITGB8/ACTR3B/VAV2,15
Cellular Processes,Cell growth and death,hsa04114,Oocyte meiosis,10/409,139/9500,0.07194244604316546,1.6710348102935744,1.6903868146628143,0.07681694161643975,0.4176069206315883,0.3787629799836319,YWHAE/ANAPC16/PPP2R5E/IGF1R/ADCY7/FBXW11/PPP2R5D/RPS6KA2/YWHAG/ANAPC2,10
Human Diseases,Infectious disease: viral,hsa05170,Human immunodeficiency virus 1 infection,14/409,214/9500,0.06542056074766354,1.51954847702397,1.63047217633332,0.07816833937637147,0.4176069206315883,0.3787629799836319,HLA-F/GNB1/B2M/GNB5/PRKCB/GNAO1/PLCG2/PRKCA/BCL2/GNG7/AP1B1/FBXW11/CGAS/AP1S2,14
Cellular Processes,Cell growth and death,hsa04110,Cell cycle,11/409,158/9500,0.06962025316455696,1.6170963448980222,1.6590380819140655,0.07879375860973364,0.4176069206315883,0.3787629799836319,YWHAE/ANAPC16/PDS5B/PPP2R5E/SMAD2/FZR1/EP300/PPP2R5D/YWHAG/ORC5/ANAPC2,11
Organismal Systems,Circulatory system,hsa04260,Cardiac muscle contraction,7/409,87/9500,0.08045977011494253,1.8688699659949977,1.7268123708002843,0.08043710938015484,0.41932788168670887,0.3803238648863232,CACNA1C/CACNA1S/RYR2/ATP1B2/MYL3/CACNA2D2/CACNA2D3,7
NA,NA,hsa04082,Neuroactive ligand signaling,13/409,199/9500,0.06532663316582915,1.5173667850253714,1.5644260123173632,0.08811823976712965,0.45196129428947146,0.40992186241415157,GABBR1/GNB1/GNB5/PRKCB/ADCY7/GNAO1/PRKCA/GNG7/GRM7/SLC6A1/GRM1/OPRM1/GRM8,13
Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,8/409,110/9500,0.07272727272727272,1.6892642809513225,1.5422120369845516,0.10137559928973469,0.5037100089708693,0.45685714153597545,PFKP/IGF1R/PRKCB/PLCG2/PRKCA/BCL2/EPAS1/EP300,8
Environmental Information Processing,Signal transduction,hsa04350,TGF-beta signaling pathway,8/409,110/9500,0.07272727272727272,1.6892642809513225,1.5422120369845516,0.10137559928973469,0.5037100089708693,0.45685714153597545,HJV/SIN3A/SMAD2/ACVR1/BMPR2/EP300/RGMB/TGFBR1,8
Human Diseases,Infectious disease: viral,hsa05163,Human cytomegalovirus infection,14/409,227/9500,0.06167400881057269,1.4325258770181921,1.3989740640657062,0.11205360318259688,0.5421782901423065,0.49174727407809327,HLA-F/GNB1/B2M/GNB5/TSC2/PRKCB/ADCY7/GNAO1/PRKCA/GNG7/ROCK2/IL1R1/CGAS/CREB5,14
Cellular Processes,Transport and catabolism,hsa04140,Autophagy - animal,11/409,169/9500,0.0650887573964497,1.5118415532182694,1.4239986159474458,0.1125275696521768,0.5421782901423065,0.49174727407809327,PLEKHM1/SQSTM1/DAPK2/IGF1R/TSC2/RPTOR/PIK3C3/BCL2/TANK/MAP1LC3A/STX17,11
Human Diseases,Cancer: specific types,hsa05225,Hepatocellular carcinoma,11/409,170/9500,0.06470588235294118,1.5029483676111033,1.4034657243584598,0.11595194900554716,0.5496790083650063,0.4985503088116905,TXNRD1/IGF1R/PRKCB/PLCG2/WNT3/PRKCA/SMAD2/SMARCC1/POLK/ARID1B/TGFBR1,11
Organismal Systems,Excretory system,hsa04966,Collecting duct acid secretion,3/409,28/9500,0.10714285714285714,2.488648271044359,1.6731891408096442,0.11754142317239126,0.5496790083650063,0.4985503088116905,SLC12A7/ATP6V0D1/ATP6V1C2,3
Organismal Systems,Endocrine system,hsa04928,"Parathyroid hormone synthesis, secretion and action",8/409,115/9500,0.06956521739130435,1.6158180078664826,1.4092204444225485,0.12235831566611295,0.5524106444598483,0.5010278602515673,PRKCB/ADCY7/MMP15/PRKCA/BCL2/PLD1/PDE4D/CREB5,8
