ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0006936,muscle contraction,24/829,359/18805,0.06685236768802229,1.5164762055165972,2.1217895052360722,0.028637065279133872,0.37872324813597097,0.35601292393799866,CACNA1C/NOS1AP/CACNA1S/ATP2B4/RYR2/PRKG1/ACTN3/ARHGAP42/TMOD2/TMOD3/GNAO1/TRPV1/DTNA/ROCK2/LARGE1/MYL3/DLG1/NPNT/ANK2/PDE4D/KCNIP1/UTRN/ZDHHC21/DMD,24
BP,GO:0009154,purine ribonucleotide catabolic process,11/829,130/18805,0.08461538461538462,1.9194117101234112,2.258953330578803,0.02878023479065223,0.3794422473502287,0.35668880801386904,PFKP/OGDHL/NT5C2/ACTN3/NUDT4/RPTOR/HDAC4/EP300/ZBTB20/PDE4D/PDE10A,11
BP,GO:0051153,regulation of striated muscle cell differentiation,9/829,98/18805,0.09183673469387756,2.083220501710938,2.30878606600213,0.02887815328676452,0.3794422473502287,0.35668880801386904,YBX1/PROX1/ACTN3/TRIM72/BCL2/HDAC4/NLN/PI16/HDAC9,9
BP,GO:0021953,central nervous system neuron differentiation,16/829,215/18805,0.07441860465116279,1.6881083962184755,2.1791757077743403,0.028924695904566613,0.3794422473502287,0.35668880801386904,CLN8/EPHB2/PROX1/ZMIZ1/SPG11/B2M/SIN3A/TAOK1/WNT3/TTC21B/GIGYF2/SHANK3/SLIT2/DCLK2/PLXNA4/LHX6,16
BP,GO:0046037,GMP metabolic process,4/829,27/18805,0.14814814814814814,3.3605861591386317,2.6359242645225933,0.02935375362398871,0.3840383852146512,0.3610093362306838,MAGI3/NT5C2/DLG2/DLG1,4
BP,GO:0032414,positive regulation of ion transmembrane transporter activity,7/829,68/18805,0.10294117647058823,2.335113176754417,2.3685271478271526,0.0297809068609451,0.3885850948700858,0.3652834002251583,EPHB2/CRACR2A/ATP1B2/ACTN4/STIM2/ANK2/DMD,7
BP,GO:0032868,response to insulin,22/829,324/18805,0.06790123456790123,1.540268656271873,2.1065676039282812,0.030197872173718103,0.38898112969773024,0.3656556866313003,ERRFI1/EPHB2/TIE1/SORBS1/VWA2/PTPRE/TBC1D4/IGF1R/TSC2/PRKCB/TRIM72/SOCS7/PDK2/SLC27A1/MERTK/TRIB3/PPARG/SMARCC1/SGCB/HDAC9/YWHAG/GCNT1,22
BP,GO:0009167,purine ribonucleoside monophosphate metabolic process,5/829,40/18805,0.125,2.835494571773221,2.4955407883984804,0.030209804949885195,0.38898112969773024,0.3656556866313003,AK4/MAGI3/NT5C2/DLG2/DLG1,5
BP,GO:0048873,homeostasis of number of cells within a tissue,5/829,40/18805,0.125,2.835494571773221,2.4955407883984804,0.030209804949885195,0.38898112969773024,0.3656556866313003,KMT2A/BCL2/GIGYF2/IL20RB/XIAP,5
BP,GO:0106056,regulation of calcineurin-mediated signaling,5/829,40/18805,0.125,2.835494571773221,2.4955407883984804,0.030209804949885195,0.38898112969773024,0.3656556866313003,CAMTA1/ATP2B4/ACTN3/NFAT5/PLCG2,5
BP,GO:1903514,release of sequestered calcium ion into cytosol by endoplasmic reticulum,5/829,40/18805,0.125,2.835494571773221,2.4955407883984804,0.030209804949885195,0.38898112969773024,0.3656556866313003,CACNA1C/RYR2/ANK2/PDE4D/DMD,5
BP,GO:0006874,intracellular calcium ion homeostasis,21/829,306/18805,0.06862745098039216,1.5567421178362784,2.1086112585746375,0.03046394805408593,0.39122122764194567,0.36776145601026733,YWHAE/CACNA1C/CACNA1S/ATP2B4/RYR2/MCU/PLCE1/F2/ERO1A/PML/PRKCB/PLCG2/CCDC47/AFG3L2/BCL2/STIM2/ANK2/SLC10A7/PDE4D/GRM1/DMD,21
BP,GO:0019216,regulation of lipid metabolic process,23/829,343/18805,0.06705539358600583,1.5210816361698911,2.0915551073928866,0.030727693365777076,0.3934140423303665,0.36982277749692344,UBR4/ZMPSTE24/CERS2/PROX1/PRKG1/SORBS1/BSCL2/SCARB1/IGF1R/ABCA3/PLCG2/MBTPS1/PDK2/RNF213/RPTOR/SLC27A1/SIRT2/UGT1A8/TRIB3/PLA2G6/PPARG/ZBTB20/PLPP1,23
BP,GO:2000772,regulation of cellular senescence,6/829,54/18805,0.1111111111111111,2.520439619353974,2.402756150840014,0.030864325737949172,0.3934140423303665,0.36982277749692344,ZMPSTE24/YBX1/BMAL1/B2M/FZR1/CGAS,6
BP,GO:0021819,layer formation in cerebral cortex,3/829,16/18805,0.1875,4.253241857659831,2.7956343398191446,0.03111840580727899,0.3934140423303665,0.36982277749692344,LRP8/SOCS7/RELN,3
BP,GO:0034497,protein localization to phagophore assembly site,3/829,16/18805,0.1875,4.253241857659831,2.7956343398191446,0.03111840580727899,0.3934140423303665,0.36982277749692344,PIK3C3/LRBA/STX17,3
BP,GO:0034638,phosphatidylcholine catabolic process,3/829,16/18805,0.1875,4.253241857659831,2.7956343398191446,0.03111840580727899,0.3934140423303665,0.36982277749692344,SCARB1/PLA2G6/PNPLA7,3
BP,GO:0070942,neutrophil mediated cytotoxicity,3/829,16/18805,0.1875,4.253241857659831,2.7956343398191446,0.03111840580727899,0.3934140423303665,0.36982277749692344,F2/DNASE1/DNASE1L3,3
BP,GO:0021872,forebrain generation of neurons,8/829,84/18805,0.09523809523809523,2.1603768165891206,2.2889168780992537,0.031638087620401156,0.3988321050902167,0.37491594348213214,PROX1/ZMIZ1/B2M/SIN3A/SHANK3/SLIT2/DCLK2/LHX6,8
BP,GO:0001704,formation of primary germ layer,11/829,132/18805,0.08333333333333333,1.8903297145154805,2.20438091273428,0.03171042147028772,0.3988321050902167,0.37491594348213214,TXNRD1/COL4A2/MMP15/WNT3/LAMA3/SMAD2/ACVR1/COL5A2/BMPR2/EXOC4/SOX7,11
BP,GO:0030307,positive regulation of cell growth,13/829,166/18805,0.0783132530120482,1.776454430508524,2.1578167953240386,0.03233796726833973,0.4056793837262156,0.38135262171674883,LPAR3/F2/KDM2B/WNT3/RPTOR/BCL2/ITSN2/BMPR2/SEMA5A/CPNE5/TGFBR1/ANAPC2/DDX3X,13
BP,GO:0010882,regulation of cardiac muscle contraction by calcium ion signaling,4/829,28/18805,0.14285714285714285,3.2405652248836803,2.5478822924116837,0.03308831250175327,0.4110988448548118,0.38644710221684,CACNA1C/RYR2/ANK2/DMD,4
BP,GO:0006418,tRNA aminoacylation for protein translation,5/829,41/18805,0.12195121951219512,2.7663361675836295,2.4314113221616522,0.03320129054066129,0.4110988448548118,0.38644710221684,NARS2/LARS1/FARS2/VARS1/RARS2,5
BP,GO:0050684,regulation of mRNA processing,11/829,133/18805,0.08270676691729323,1.8761167091431836,2.177450149986886,0.03325239346442469,0.4110988448548118,0.38644710221684,RBM20/ARGLU1/RBFOX3/CELF4/SAFB/RBM39/DYRK1A/RBM15B/YTHDC1/ARB2A/SRPK1,11
BP,GO:0007215,glutamate receptor signaling pathway,6/829,55/18805,0.10909090909090909,2.474613444456629,2.3518778108419633,0.03340121291587629,0.4110988448548118,0.38644710221684,TRPM1/KCNB1/SHANK3/GRM7/GRM1/GRM8,6
BP,GO:0045778,positive regulation of ossification,6/829,55/18805,0.10909090909090909,2.474613444456629,2.3518778108419633,0.03340121291587629,0.4110988448548118,0.38644710221684,ACTN3/ZBTB16/ACVR1/BMPR2/ADGRV1/TFAP2A,6
BP,GO:0045815,transcription initiation-coupled chromatin remodeling,6/829,55/18805,0.10909090909090909,2.474613444456629,2.3518778108419633,0.03340121291587629,0.4110988448548118,0.38644710221684,ZMPSTE24/TET1/KMT2A/ATAD2B/EP300/ARID1B,6
