"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Change"
"ENSG00000244687.13",3953.20602630929,-0.633268726758324,0.0681549832550862,-9.29159830306414,1.51988571564547e-20,2.44184839075601e-16,"Stable"
"ENSG00000184524.6",114.777082832304,4.07562458940256,0.448992388287231,9.0772687816598,1.11333421511708e-19,8.94341375003554e-16,"Up"
"ENSG00000170759.11",7404.8319431084,-0.83540395963863,0.0990234922153671,-8.43642191311232,3.27200105836993e-17,1.75226563345904e-13,"Stable"
"ENSG00000196313.13",2371.83161656059,0.503375786582952,0.062065440858446,8.1104037870449,5.04518229177457e-16,2.02639746749126e-12,"Stable"
"ENSG00000172890.13",2132.02577577721,0.397481098837086,0.0503419763132908,7.89561967856528,2.88876325162759e-15,9.28217408012977e-12,"Stable"
"ENSG00000285976.3",1719.89840764251,0.557029996056742,0.0714698037577179,7.79392088363737,6.4961230417968e-15,1.73944521315846e-11,"Stable"
"ENSG00000160007.20",4284.83689380335,-0.412666064752391,0.0544950257381517,-7.57254555186833,3.65980821106157e-14,8.39978267413073e-11,"Stable"
"ENSG00000166272.18",2023.83969889957,-0.721149000597009,0.0975396033708589,-7.3933968939273,1.43124440640247e-13,2.87429657915776e-10,"Stable"
"ENSG00000277739.1",82.4866935994117,9.78140057477386,1.34742750996804,7.2593148814409,3.89055838645093e-13,6.94507900408008e-10,"Up"
"ENSG00000100697.17",2360.94634288887,-1.34179420522614,0.186992090470306,-7.17567359053197,7.19520364811965e-13,1.1559814181069e-09,"Down"
"ENSG00000278189.1",66.610018437007,9.47865786381256,1.32761707039677,7.13960228078402,9.36013485611492e-13,1.36709024180311e-09,"Up"
"ENSG00000132718.9",2215.91752495116,1.52255827453242,0.228654012520914,6.65878659965857,2.7609747028679e-11,3.69648496468965e-08,"Up"
"ENSG00000135414.10",422.339221466912,1.05905000103791,0.165210879899179,6.41029211686424,1.45241073987153e-10,1.79495622667507e-07,"Up"
"ENSG00000135535.17",7724.97443213548,-0.407037768016545,0.0643015864283757,-6.33013570310488,2.4494567674127e-10,2.81092660180374e-07,"Stable"
"ENSG00000126226.22",1040.83877579221,-0.400416051351348,0.063448534011737,-6.31087948032459,2.7745420050463e-10,2.97171945687159e-07,"Stable"
"ENSG00000135439.12",41.9023140986093,2.71390803820801,0.455860177785377,5.95337818581238,2.62663376766067e-09,2.63746863195227e-06,"Up"
"ENSG00000135655.16",1389.50658570894,0.742306519965235,0.126858517803586,5.85145193888001,4.87300102987865e-09,4.60527262035473e-06,"Stable"
"ENSG00000240225.11",19.1502496157506,7.68185617487188,1.33508611589491,5.75382822382416,8.72448092624888e-09,7.39727603732995e-06,"Up"
"ENSG00000089902.10",1588.3839845374,-0.416096478128508,0.0723222193381649,-5.75336987631589,8.74817905572446e-09,7.39727603732995e-06,"Stable"
"ENSG00000147010.19",1311.15200330888,-1.12138234298194,0.195775578243544,-5.72789697797214,1.01683283034611e-08,8.16821812617027e-06,"Down"
"ENSG00000104442.10",1048.86817869799,-1.28803387142064,0.226311058944675,-5.69143141933474,1.25978754851529e-08,9.63797464497463e-06,"Down"
"ENSG00000113732.9",3851.03558694463,-0.682355165315003,0.121112584079995,-5.63405669607633,1.76019111072261e-08,1.28541956294861e-05,"Stable"
"ENSG00000198382.9",2205.37108964318,-0.738849219635155,0.132584437908298,-5.57266924604061,2.50865579630931e-08,1.75235060971763e-05,"Stable"
"ENSG00000169641.15",5504.75598980653,0.498530067157219,0.0901916137039779,5.52745478968219,3.24909918074135e-08,2.08835859858404e-05,"Stable"
"ENSG00000128596.17",63.8736929538955,1.89034654305398,0.341994080527755,5.52742474412674,3.24965548142668e-08,2.08835859858404e-05,"Up"
