"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Change","Sig"
"RAB19",1,0.5,573.534361146493,1.98594960146074e-11,8.14724790945928e-08,9.88316607270348,"Stable","Sig"
"TMC2",1,0.5,573.534361146493,1.98594960146074e-11,8.14724790945928e-08,9.88316607270348,"Stable","Sig"
"C9orf153",1,0.5,573.534361146493,1.98594960146074e-11,8.14724790945928e-08,9.88316607270348,"Stable","Sig"
"RPS15P5",1,0.5,573.534361146493,1.98594960146074e-11,8.14724790945928e-08,9.88316607270348,"Stable","Sig"
"OR10V2P",1,0.5,573.534361146493,1.98594960146074e-11,8.14724790945928e-08,9.88316607270348,"Stable","Sig"
"UGT2A1",-1,0.5,-573.534361146493,1.98594960146074e-11,8.14724790945928e-08,9.88316607270348,"Stable","Sig"
"KHSRPP1",-1,0.5,-573.534361146493,1.98594960146074e-11,8.14724790945928e-08,9.88316607270348,"Stable","Sig"
"LOC100288001",-1,0.5,-573.534361146493,1.98594960146074e-11,8.14724790945928e-08,9.88316607270348,"Stable","Sig"
"LOC105375903",-1,0.5,-573.534361146493,1.98594960146074e-11,8.14724790945928e-08,9.88316607270348,"Stable","Sig"
"RPL7P32",-0.998333333333333,0.499166666666667,-94.6722765778858,3.80062926820342e-08,0.000140326833840607,8.91184783799884,"Stable","Sig"
"MLF1-DT",9.96533333333334,4.98266666666667,30.6885433288666,4.26004753603145e-06,0.0142990431932139,5.49966946306343,"Up","Sig"
"INGX",-1.036,0.518,-29.4361951556886,5.07031061724838e-06,0.0156005007175037,5.32224814472102,"Down","Sig"
"BPNT2",-1930,4571.33333333333,-15.0249898085888,8.31763115644484e-05,0.236233521198659,2.21201566087348,"Down","Sig"
"RNF8",-152.667333333333,706,-13.6312471975064,0.000124274969943329,0.327748602874827,1.73975773966614,"Down","Sig"
"RPS3P4",8.99333333333333,10.1623333333333,12.2814786413333,0.000190751407718014,0.4478710099088,1.23190634837242,"Up","Sig"
"MFAP3",-439.666666666667,1732.16666666667,-12.0783257563496,0.000204247755177399,0.4478710099088,1.15056261410003,"Down","Sig"
"LSM14A",1658.33366666667,3002.83316666667,12.0501222408767,0.000206213292033194,0.4478710099088,1.1391604425397,"Up","Sig"
"SPAST",-368.667,870.3325,-11.3646111918592,0.000262041687472461,0.537505732492122,0.853442385379218,"Down","Sig"
"DHRS7B",-69.6663333333333,260.833833333333,-10.6625744609754,0.000339848599942604,0.660415263530571,0.542467666725354,"Down","Sig"
"LOC101929657",3.33333333333333,1.66666666666667,10.2412220758567,0.000400373508049436,0.739129533210064,0.346009317080123,"Up","Sig"
"NRN1L",1.11333333333333,0.556666666666667,10.0593904574983,0.000430559723539272,0.757006005357952,0.258787709249013,"Up","Sig"
"UBALD2",-603.666333333334,829.8335,-9.73579298542901,0.000491534296280099,0.824928603966083,0.0997277715442486,"Down","Sig"
"IPO11",652.095333333333,1842.65266666667,9.46400163833167,0.00055113165504161,0.884734042062883,-0.0378365616632497,"Up","Sig"
"RBP5",13.6693333333333,10.8053333333333,9.08118205579819,0.000650948731796783,1,-0.238107947006909,"Up","Sig"
"SLC39A9",-1019.66666666667,1721.83366666667,-8.81179889414844,0.000734711259152,1,-0.383861824112086,"Down","Sig"
"ATP11C",752.000333333333,1706.66716666667,8.75123544281252,0.000755332188681717,1,-0.417204000967883,"Up","Sig"
"TNRC6A",788.998666666667,2435.83333333333,8.71041248365327,0.000769633438334791,1,-0.439799913847708,"Up","Sig"
"RPS3AP5",2.27166666666667,5.0705,8.65794338625836,0.000788506143403324,1,-0.468987201568043,"Up","Sig"
