"ensembl_gene_id_version","external_gene_name","hgnc_symbol","uniprot_gn_symbol"
"ENSG00000007372.25","PAX6","PAX6","PAX6"
"ENSG00000109511.12","ANXA10","ANXA10","ANXA10"
"ENSG00000118997.14","DNAH7","DNAH7","DNAH7"
"ENSG00000165899.12","OTOGL","OTOGL","OTOGL"
"ENSG00000188372.15","ZP3","ZP3","ZP3"
"ENSG00000258677.2","","",""
"ENSG00000267281.3","ATF7-NPFF","ATF7-NPFF","ATF7-NPFF"
"ENSG00000285713.1","","",""
