category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Endocrine and metabolic disease,hsa04950,Maturity onset diabetes of the young,1/2,26/9507,0.038461538461538464,182.8269230769231,13.466527814866218,0.00546246156867447,0.03277476941204682,0.01724987863791938,PAX6,1
Cellular Processes,Cellular community - eukaryotes,hsa04550,Signaling pathways regulating pluripotency of stem cells,1/2,144/9507,0.006944444444444444,33.010416666666664,5.614394220203176,0.03006561367263849,0.08203179642997682,0.043174629699987796,PAX6,1
Cellular Processes,Cell motility,hsa04814,Motor proteins,1/2,197/9507,0.005076142131979695,24.12944162436548,4.758403466750796,0.04101589821498841,0.08203179642997682,0.043174629699987796,DNAH7,1
Human Diseases,Neurodegenerative disease,hsa05016,Huntington disease,1/2,311/9507,0.003215434083601286,15.284565916398714,3.715229126843422,0.06435868143798074,0.09183460353916408,0.04833400186271794,DNAH7,1
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,1/2,371/9507,0.0026954177897574125,12.81266846361186,3.3666251753492116,0.07652883628263674,0.09183460353916408,0.04833400186271794,DNAH7,1
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,1/2,483/9507,0.002070393374741201,9.841614906832298,2.8929668669577966,0.09903329892724544,0.09903329892724544,0.052122788909076546,DNAH7,1
