"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Change","Sig"
"FAM13C",-22.3796666666667,57.8821666666667,-0.638143708647071,0.556557828556715,1,-7.69963963519355,"Stable","Stable"
"ANTXR2",-431.666,1513.83366666667,-0.637984608160623,0.556651903152994,1,-7.69975407307536,"Stable","Stable"
"HYOU1",1853.29066666666,9227.782,0.637876869456139,0.556715614140374,1,-7.69983155409358,"Stable","Stable"
"ARMCX5",34.0006666666667,293.651666666667,0.637788884871537,0.556767647249768,1,-7.69989482081492,"Stable","Stable"
"TNC",32.0003333333333,41.9998333333333,0.637648301960827,0.556850793268257,1,-7.69999589429659,"Stable","Stable"
"SGCA",3.00033333333333,4.83316666666667,0.637621702938902,0.556866525876516,1,-7.70001501586484,"Stable","Stable"
"SLC38A9",22.9990000000001,442.500833333333,0.63757636966138,0.556893339988842,1,-7.70004760364642,"Stable","Stable"
"LINC00906",3,3.16666666666667,0.637538663433618,0.556915643455505,1,-7.70007470727806,"Stable","Stable"
"CTNNA3",-7.33366666666667,10.3331666666667,-0.637536919491538,0.556916675022666,1,-7.70007596080998,"Stable","Stable"
"GPRASP3",-55.0396666666667,280.432833333333,-0.637492358541689,0.556943033913268,1,-7.70010798991458,"Stable","Stable"
"MNAT1",-93.6663333333335,575.8335,-0.637475111648594,0.556953236098852,1,-7.70012038598117,"Stable","Stable"
"CAMSAP2",-176.333333333333,3932.83366666667,-0.637339273477535,0.55703359390976,1,-7.70021800893144,"Stable","Stable"
"TMEM262",-1.37533333333333,14.1096666666667,-0.637287647978675,0.557064136075279,1,-7.7002551061876,"Stable","Stable"
"ZNF136",-6.66666666666669,154.333333333333,-0.637260525790999,0.557080182289509,1,-7.70027459476578,"Stable","Stable"
"TRIM6",-55.3333333333334,132.333666666667,-0.637174915225859,0.557130833851927,1,-7.70033610553784,"Stable","Stable"
"ARMC2",9.33333333333334,44.6666666666667,0.637052898659403,0.557203030447346,1,-7.70042376208476,"Stable","Stable"
"MKRN2",-177.335,1154.46983333333,-0.637028875561149,0.557217245541737,1,-7.70044101861963,"Stable","Stable"
"LINC02762",13.333,70.0001666666667,0.63694200128714,0.557268653367908,1,-7.7005034186266,"Stable","Stable"
"KCNMB3",-22.894,122.934333333333,-0.636741014466894,0.557387599571737,1,-7.70064775647161,"Stable","Stable"
"PATJ",18.667,198.3335,0.636590977236958,0.557476404455999,1,-7.70075548062692,"Stable","Stable"
"SHPRH",-32.712,630.075666666667,-0.636235747471327,0.557686698045274,1,-7.70101044614329,"Stable","Stable"
"COX18",-18.3333333333333,339.833333333333,-0.636116791814811,0.557757130978947,1,-7.70109580014736,"Stable","Stable"
"FBXO9",105.333333333333,1376.66666666667,0.636073541788491,0.557782740553419,1,-7.70112682998932,"Stable","Stable"
"SEPTIN4-AS1",-0.637,0.651833333333333,-0.635817392536418,0.557934430144741,1,-7.70131056929182,"Stable","Stable"
"MPPED2",3.66666666666667,7.5,0.635718765457996,0.557992843773736,1,-7.70138129956147,"Stable","Stable"
"METTL23",-26.3319999999999,373.500333333333,-0.635670096444955,0.558021670380719,1,-7.70141619914361,"Stable","Stable"
"BEX4",-87.333333333333,685.666666666667,-0.635347993953244,0.558212476754015,1,-7.7016471169292,"Stable","Stable"
"WDR11-DT",0.645666666666667,2.67716666666667,0.635214023982815,0.558291850584598,1,-7.70174313264048,"Stable","Stable"
"TOMM34",167.333333333333,966.666666666667,0.635211374277052,0.558293420545434,1,-7.70174503150509,"Stable","Stable"
"CEP164",-292.667333333334,1196.66666666667,-0.635155169417381,0.558326722843783,1,-7.7017853081821,"Stable","Stable"
"SNU13",194.667,2262.99983333333,0.635124868608722,0.558344677125589,1,-7.70180702067081,"Stable","Stable"
"MIR181A2HG",1.66666666666667,5.5,0.635112159843914,0.558352207626448,1,-7.70181612706839,"Stable","Stable"
"VPS13B",56.6666666666667,1476.33333333333,0.635053127473012,0.558387187797063,1,-7.70185842442933,"Stable","Stable"
"YTHDF2",257.350999999999,3346.42016666667,0.635051879522975,0.558387927297249,1,-7.70185931856465,"Stable","Stable"
"GUF1",89.8123333333333,807.572833333333,0.634996569504998,0.558420703127358,1,-7.70189894581249,"Stable","Stable"
"GLYCTK",23.3623333333333,271.6425,0.634734816767827,0.558575831244513,1,-7.70208644178725,"Stable","Stable"
"TOR1B",-142.666666666667,1079.66666666667,-0.634732848470915,0.558576997868694,1,-7.70208785145561,"Stable","Stable"
"IPO13",-58.333,915.8335,-0.63463531357989,0.55863480958476,1,-7.70215770014712,"Stable","Stable"
