"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DNAL4",0.000451315624406255,0.947601331768502,0.105,0.042,1
"METTL10",0.000453075421802946,0.471732932435863,0.164,0.078,1
"B3GAT3",0.000453833583694902,0.348754729340562,0.193,0.097,1
"COX5A",0.000455378107849035,0.286005511714812,0.556,0.376,1
"ZZZ3",0.000459184807303518,0.548035152033874,0.117,0.048,1
"DMAP1",0.000459407495794404,0.481510000957562,0.146,0.067,1
"CREM",0.000460712079064205,-1.13340336063074,0.503,0.512,1
"ERP44",0.000461971300035913,0.292304511622391,0.585,0.393,1
"POLR3K",0.000464140803894005,0.431364959189022,0.164,0.079,1
"MRPL21",0.000465926420954114,0.286680398986397,0.298,0.173,1
"PDK2",0.000466471123783298,0.568359859566223,0.14,0.063,1
"BEX1",0.000466678833971042,-2.0891458199843,0.064,0.163,1
"ACO1",0.000467993515758369,0.624339643499353,0.146,0.067,1
"ACTL6A",0.000468808548482516,0.480895597119002,0.152,0.071,1
"WDR11",0.000469970048704744,0.461832447542726,0.181,0.091,1
"HLA-DPB1",0.000471062072254792,0.34036248265893,0.819,0.633,1
"ASGR2",0.000471785773471902,0.415896731764677,0.152,0.071,1
"NIPBL",0.000472575801698239,0.395246175930916,0.263,0.15,1
"FBXO8",0.000476343563656416,0.389621890604236,0.222,0.119,1
"PIGF",0.000477246799197732,0.530867398447695,0.193,0.099,1
"PDHB",0.000478343021324032,0.273268255788907,0.339,0.2,1
"TYROBP",0.00048760463994531,0.421856275093156,0.579,0.385,1
"CXCL2",0.000491340318190259,-1.31644406839205,0.433,0.516,1
"STX2",0.000493437000087663,0.733942963633448,0.111,0.046,1
"IRF3",0.000494410241894341,0.320410341622202,0.234,0.127,1
"RAB3GAP2",0.000499941927743773,0.355682202655605,0.199,0.102,1
"TTC5",0.00050171223586752,0.459530817383486,0.117,0.049,1
"NABP2",0.000508429235411525,0.567648680631903,0.129,0.056,1
"SFR1",0.000511045946117702,0.939602362598519,0.14,0.065,1
"C4orf32",0.000519611029168214,-1.19897133921423,0.404,0.454,1
"RCN2",0.000529707032295715,0.282708859807958,0.404,0.254,1
"DNTTIP1",0.000530046382884256,0.613216277805963,0.164,0.08,1
"ECSCR.1",0.000531039019922246,0.315005111616484,0.556,0.383,1
"CDK9",0.000535529265404618,0.753858317679744,0.175,0.087,1
"NBR1",0.000538328846821196,0.36047022018001,0.263,0.149,1
"ZC3H7A",0.000548412727218449,0.454910579035265,0.251,0.141,1
"ATG14",0.000555386920042108,0.769964186679657,0.14,0.066,1
"SSH1",0.000562933655300013,-2.24920957415465,0.105,0.203,1
