ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0071350,cellular response to interleukin-15,3/234,10/18805,0.3,24.108974358974358,8.204930574339967,2.1399180123202308e-4,0.034238688197123696,0.031013991801826728,JAK3/PLCB1/IL2RB,3
BP,GO:0051017,actin filament bundle assembly,9/234,166/18805,0.05421686746987952,4.357043558850788,4.876577395445549,2.3917084892336108e-4,0.03635396903635089,0.03293004951492172,ARHGEF10L/SORBS1/CGNL1/SPIRE1/ARHGEF18/ADD2/SYNPO2/NEDD9/DLC1,9
BP,GO:0061572,actin filament bundle organization,9/234,170/18805,0.052941176470588235,4.254524886877828,4.784788702566939,2.85424191197825e-4,0.038568695310577696,0.03493618661096651,ARHGEF10L/SORBS1/CGNL1/SPIRE1/ARHGEF18/ADD2/SYNPO2/NEDD9/DLC1,9
BP,GO:0070672,response to interleukin-15,3/234,11/18805,0.2727272727272727,21.917249417249415,7.789448516661546,2.915385219251991e-4,0.038568695310577696,0.03493618661096651,JAK3/PLCB1/IL2RB,3
BP,GO:0043269,regulation of monoatomic ion transport,16/234,472/18805,0.03389830508474576,2.724177893669419,4.258451521801188,2.9438884322427206e-4,0.038568695310577696,0.03493618661096651,RGS7/ITGB1/CACNA1C/AKAP6/GNB5/WWP2/SPTBN4/PRKCE/COMMD1/BIN1/CACNB4/PDE4D/UTRN/ABCB1/LYN/FGF13,16
BP,GO:0042692,muscle cell differentiation,15/234,429/18805,0.03496503496503497,2.809903771442233,4.256709816600117,3.281896905873112e-4,0.038568695310577696,0.03493618661096651,ASB2/LAMC1/OBSCN/ITGB1/ATP11A/AKAP6/BIN1/CACNB4/SPEG/PDGFRA/PTCD2/DOCK2/SYNE1/SMO/NRG1,15
BP,GO:0051651,maintenance of location in cell,10/234,212/18805,0.04716981132075472,3.790719238832447,4.586957826362683,3.352413902096243e-4,0.038568695310577696,0.03493618661096651,SRGN/HK1/CACNA1C/AKAP6/PRKCE/PLCB1/PDE4D/ITPR3/SYNE1/LYN,10
BP,GO:0034762,regulation of transmembrane transport,16/234,478/18805,0.03347280334728033,2.6899831920752417,4.2011293042403794,3.3848312739530594e-4,0.038568695310577696,0.03493618661096651,RGS7/ITGB1/SORBS1/CACNA1C/AKAP6/GNB5/WWP2/PRKCE/COMMD1/BIN1/CACNB4/NLGN1/PDE4D/UTRN/LYN/FGF13,16
BP,GO:1901880,negative regulation of protein depolymerization,6/234,75/18805,0.08,6.429059829059829,5.28812577017297,3.42550912297894e-4,0.038568695310577696,0.03493618661096651,ASB2/BMERB1/SPTBN4/ADD2/MID1/FGF13,6
BP,GO:0007626,locomotory behavior,10/234,215/18805,0.046511627906976744,3.7378254820115284,4.532112704573174,3.7470788324921086e-4,0.03927972293371038,0.03558024764355483,ALDH1A3/SPTBN4/PRKCE/CACNB4/DPP4/FOXA2/ADCY5/SLC6A3/PREX2/APBA1,10
BP,GO:0021953,central nervous system neuron differentiation,10/234,215/18805,0.046511627906976744,3.7378254820115284,4.532112704573174,3.7470788324921086e-4,0.03927972293371038,0.03558024764355483,AGBL4/DCLK1/SPTBN4/ARHGAP35/GLI2/ADARB1/ARHGEF28/SMO/TOX/NFIB,10
BP,GO:0045906,negative regulation of vasoconstriction,3/234,13/18805,0.23076923076923078,18.545364891518737,7.103346236954657,4.961093247088558e-4,0.049118464368119084,0.0444923486104569,ITGB1/ITGA9/DOCK4,3
BP,GO:0032535,regulation of cellular component size,13/234,353/18805,0.036827195467422094,2.95955303745672,4.171940033215032,5.034413497936667e-4,0.049118464368119084,0.0444923486104569,ASB2/RIN3/CDH1/SSH2/SPTBN4/ARHGAP35/PRKCE/ADD2/BIN1/SLC12A8/SMURF1/NRCAM/FGF13,13
BP,GO:0051235,maintenance of location,10/234,224/18805,0.044642857142857144,3.587644993894994,4.373302984373058,5.170364670328325e-4,0.049118464368119084,0.0444923486104569,SRGN/HK1/CACNA1C/AKAP6/PRKCE/PLCB1/PDE4D/ITPR3/SYNE1/LYN,10
BP,GO:0045445,myoblast differentiation,7/234,114/18805,0.06140350877192982,4.934585395111711,4.729884518487938,5.62356508733224e-4,0.05118962363471778,0.046368440245298376,ITGB1/CMTM5/PLCB1/PBRM1/BOC/MBNL1/NRG1,7
BP,GO:0008154,actin polymerization or depolymerization,9/234,187/18805,0.0481283422459893,3.8677498971616617,4.423957723760464,5.725155274935542e-4,0.05118962363471778,0.046368440245298376,ASB2/SSH2/SPIRE1/SPTBN4/ARHGAP35/PRKCE/ADD2/BIN1/MICAL3,9
BP,GO:0050807,regulation of synapse organization,12/234,315/18805,0.0380952380952381,3.0614570614570615,4.14167979669684,6.122626245268595e-4,0.053179382244618656,0.04817079776728615,EEF2K/SRGAP2B/ITGB1/LRP4/VSTM5/PRMT8/DCLK1/CLSTN2/NLGN1/NEDD9/NRCAM/DOCK4,12
BP,GO:0099068,postsynapse assembly,6/234,84/18805,0.07142857142857142,5.740231990231989,4.887537732411044,6.302582436718857e-4,0.05322180724340368,0.04820922705981442,CSMD2/LRP4/DCLK1/NLGN1/DOCK4/ARHGEF9,6
BP,GO:0043242,negative regulation of protein-containing complex disassembly,6/234,85/18805,0.07058823529411765,5.672699849170438,4.8466296030755975,6.711817646906843e-4,0.05514574499080217,0.049951962914106134,ASB2/BMERB1/SPTBN4/ADD2/MID1/FGF13,6
BP,GO:0030900,forebrain development,14/234,413/18805,0.03389830508474576,2.724177893669419,3.977022281957013,7.002773565446711e-4,0.056022188523573685,0.050745860518583374,DCLK1/ALDH1A3/BMERB1/CDH1/ARHGAP35/GLI2/PLCB1/SLC6A3/SMO/DLC1/TOX/NFIB/PAX5/FGF13,14
BP,GO:0050803,regulation of synapse structure or activity,12/234,321/18805,0.037383177570093455,3.004233564981228,4.065540317282077,7.223615306257823e-4,0.05630715520775328,0.0510039882352779,EEF2K/SRGAP2B/ITGB1/LRP4/VSTM5/PRMT8/DCLK1/CLSTN2/NLGN1/NEDD9/NRCAM/DOCK4,12
BP,GO:0006935,chemotaxis,15/234,466/18805,0.032188841201716736,2.5867998239242875,3.893522436471717,7.724429636056447e-4,0.058705665234029,0.05317659981032544,CMKLR1/CMTM5/ALKBH1/RIN3/DPP4/DEFB124/ITGA9/ST6GAL1/PDGFRA/UNC5C/DOCK2/NEDD9/DOCK4/NRG1/LYN,15
BP,GO:0042330,taxis,15/234,468/18805,0.03205128205128205,2.5757451238220463,3.874896982274548,8.066681730374524e-4,0.05981149380570378,0.05417827832261811,CMKLR1/CMTM5/ALKBH1/RIN3/DPP4/DEFB124/ITGA9/ST6GAL1/PDGFRA/UNC5C/DOCK2/NEDD9/DOCK4/NRG1/LYN,15
BP,GO:0051261,protein depolymerization,7/234,122/18805,0.05737704918032787,4.611006024940451,4.491591243028477,8.420219829813244e-4,0.060946353053886335,0.055206253320279314,ASB2/BMERB1/SPTBN4/ADD2/MICAL3/MID1/FGF13,7
BP,GO:0055001,muscle cell development,9/234,202/18805,0.04455445544554455,3.58054074638233,4.139141921179806,9.915046299347069e-4,0.0695685947611414,0.06301642794153252,ASB2/OBSCN/ITGB1/AKAP6/BIN1/CACNB4/PDGFRA/PTCD2/SMO,9
BP,GO:0086004,regulation of cardiac muscle cell contraction,4/234,36/18805,0.1111111111111111,8.929249762583096,5.345375097230604,0.001006913871542836,0.0695685947611414,0.06301642794153252,CACNA1C/BIN1/PDE4D/FGF13,4
BP,GO:1901879,regulation of protein depolymerization,6/234,93/18805,0.06451612903225806,5.184725668596636,4.5411282540193065,0.001077396818669324,0.07278414063899433,0.06592912462313337,ASB2/BMERB1/SPTBN4/ADD2/MID1/FGF13,6
BP,GO:0043244,regulation of protein-containing complex disassembly,7/234,130/18805,0.05384615384615385,4.327251808021039,4.2730939903780785,0.0012215252320336625,0.07938860800637552,0.07191156459303269,ASB2/BMERB1/SPTBN4/ADD2/TOM1/MID1/FGF13,7
BP,GO:0032412,regulation of monoatomic ion transmembrane transporter activity,8/234,168/18805,0.047619047619047616,3.8268213268213267,4.131239779358134,0.0012319787979715073,0.07938860800637552,0.07191156459303269,ITGB1/AKAP6/GNB5/WWP2/CACNB4/NLGN1/UTRN/FGF13,8
BP,GO:0051209,release of sequestered calcium ion into cytosol,7/234,131/18805,0.05343511450381679,4.29421935147126,4.247025705716066,0.0012770907332776242,0.07938860800637552,0.07191156459303269,CACNA1C/AKAP6/PRKCE/PLCB1/PDE4D/ITPR3/LYN,7
BP,GO:0051963,regulation of synapse assembly,8/234,169/18805,0.047337278106508875,3.804177413644869,4.110436026057951,0.0012796190106290793,0.07938860800637552,0.07191156459303269,EEF2K/SRGAP2B/LRP4/VSTM5/DCLK1/CLSTN2/NLGN1/DOCK4,8
BP,GO:0051283,negative regulation of sequestering of calcium ion,7/234,132/18805,0.05303030303030303,4.261687386687386,4.221216782552704,0.001334615506112423,0.08114462277163531,0.07350219292610734,CACNA1C/AKAP6/PRKCE/PLCB1/PDE4D/ITPR3/LYN,7
BP,GO:0051282,regulation of sequestering of calcium ion,7/234,134/18805,0.05223880597014925,4.198080112259217,4.1703581461218215,0.0014557329696292614,0.08677310250339126,0.07860056653354278,CACNA1C/AKAP6/PRKCE/PLCB1/PDE4D/ITPR3/LYN,7
BP,GO:0060088,auditory receptor cell stereocilium organization,3/234,19/18805,0.15789473684210525,12.688933873144398,5.722027598733469,0.0015907084517421193,0.09161015028272089,0.08298204748601032,MYO7A/STRC/ANKRD24,3
BP,GO:1903169,regulation of calcium ion transmembrane transport,8/234,175/18805,0.045714285714285714,3.6737484737484736,3.9888577746657865,0.001597150646376384,0.09161015028272089,0.08298204748601032,CACNA1C/AKAP6/GNB5/PRKCE/BIN1/CACNB4/PDE4D/LYN,8
BP,GO:0022898,regulation of transmembrane transporter activity,8/234,176/18805,0.045454545454545456,3.6528749028749026,3.9691155162112444,0.0016556572140550515,0.09320736908754364,0.08442883571087749,ITGB1/AKAP6/GNB5/WWP2/CACNB4/NLGN1/UTRN/FGF13,8
BP,GO:0051208,sequestering of calcium ion,7/234,138/18805,0.050724637681159424,4.0763966307444575,4.071552240927238,0.0017235984445108272,0.09526798675114391,0.08629537858067605,CACNA1C/AKAP6/PRKCE/PLCB1/PDE4D/ITPR3/LYN,7
BP,GO:0022411,cellular component disassembly,14/234,456/18805,0.03070175438596491,2.4672926975558553,3.5604786187553508,0.0017910437180168192,0.09627178495987214,0.08720463623788971,ASB2/EEF2K/LAMC1/ITGB1/VRK1/BMERB1/SPTBN4/ADD2/DPP4/MICAL3/TOM1/NEDD9/MID1/FGF13,14
BP,GO:1903115,regulation of actin filament-based movement,4/234,42/18805,0.09523809523809523,7.653642653642653,4.845609180146753,0.0018050959679976025,0.09627178495987214,0.08720463623788971,CACNA1C/BIN1/PDE4D/FGF13,4
BP,GO:0006607,NLS-bearing protein import into nucleus,3/234,20/18805,0.15,12.054487179487179,5.552178287854598,0.00185433986495055,0.09719298602499435,0.08803907598385914,RGPD5/RGPD8/RGPD6,3
BP,GO:0061577,calcium ion transmembrane transport via high voltage-gated calcium channel,3/234,21/18805,0.14285714285714285,11.480463980463979,5.394007205539319,0.002143661560196119,0.11045307022027459,0.10005028798346204,CACNA1C/BIN1/PDE4D,3
BP,GO:0048813,dendrite morphogenesis,7/234,144/18805,0.04861111111111111,3.9065467711301047,3.9301263288623294,0.0021954833755813076,0.11123782436278624,0.10076113176352107,EEF2K/ITGB1/LRP4/DCLK1/NLGN1/SYNE1/PREX2,7
BP,GO:0008064,regulation of actin polymerization or depolymerization,7/234,146/18805,0.04794520547945205,3.853032431799555,3.8846720334801,0.0023731213893925275,0.11826703317628333,0.1071283098300406,ASB2/SSH2/SPTBN4/ARHGAP35/PRKCE/ADD2/BIN1,7
BP,GO:0002093,auditory receptor cell morphogenesis,3/234,22/18805,0.13636363636363635,10.958624708624708,5.246185374782823,0.0024595056538528498,0.11977657389781061,0.10849567774123013,MYO7A/STRC/ANKRD24,3
BP,GO:0097305,response to alcohol,10/234,276/18805,0.036231884057971016,2.9117118791031835,3.5914216316945127,0.0024822118932769964,0.11977657389781061,0.10849567774123013,RGS7/CDH1/GRAMD1A/PRKCE/ADCY5/ST6GAL1/SETD7/SLC6A3/SMO/GNAQ,10
BP,GO:0001708,cell fate specification,6/234,110/18805,0.05454545454545454,4.383449883449884,3.9949261997018164,0.002543097763861623,0.11980590196760847,0.10852224361054841,ITGB1/CHD3/GLI2/FOXA2/SMO/NFIB,6
BP,GO:0099175,regulation of postsynapse organization,7/234,148/18805,0.0472972972972973,3.8009644259644264,3.840015257391937,0.0025616393512811024,0.11980590196760847,0.10852224361054841,EEF2K/LRP4/DCLK1/NLGN1/NEDD9/NRCAM/DOCK4,7
BP,GO:0030832,regulation of actin filament length,7/234,149/18805,0.04697986577181208,3.775454597602249,3.817977809793897,0.002660113815863564,0.12252645454886721,0.1109865668628243,ASB2/SSH2/SPTBN4/ARHGAP35/PRKCE/ADD2/BIN1,7
BP,GO:0048638,regulation of developmental growth,11/234,327/18805,0.03363914373088685,2.7033508455526802,3.487915141766008,0.0027319596835627554,0.12316194053339391,0.11156220098177233,AKAP6/CDH1/RAI1/SPTBN4/PLCB1/SLC6A3/SMURF1/NRCAM/SMO/NRG1/FGF13,11
BP,GO:0001764,neuron migration,8/234,191/18805,0.041884816753926704,3.3659999105025284,3.689155468507765,0.002754938143510127,0.12316194053339391,0.11156220098177233,DCLK1/ALKBH1/VRK1/APBB2/UNC5C/PEX7/NRCAM/FGF13,8
BP,GO:0046058,cAMP metabolic process,3/234,23/18805,0.13043478260869565,10.48216276477146,5.1075874448148815,0.0028026613578443116,0.12347957286734357,0.11184991780504529,CACNB4/ADCY5/PDE4D,3
BP,GO:0007411,axon guidance,9/234,238/18805,0.037815126050420166,3.038946347769877,3.5533567568116475,0.003041488451517289,0.13038626272386553,0.11810611609613304,NFASC/ARHGAP35/GLI2/BOC/APBB2/UNC5C/NRCAM/SMO/NFIB,9
BP,GO:0097485,neuron projection guidance,9/234,239/18805,0.03765690376569038,3.026231091084648,3.538703351602184,0.0031271459226826985,0.13038626272386553,0.11810611609613304,NFASC/ARHGAP35/GLI2/BOC/APBB2/UNC5C/NRCAM/SMO/NFIB,9
BP,GO:0035024,negative regulation of Rho protein signal transduction,3/234,24/18805,0.125,10.045405982905983,4.9772531881181505,0.0031738761320940947,0.13038626272386553,0.11810611609613304,ITGB1/ARHGAP35/DLC1,3
BP,GO:0045061,thymic T cell selection,3/234,24/18805,0.125,10.045405982905983,4.9772531881181505,0.0031738761320940947,0.13038626272386553,0.11810611609613304,DOCK2/CARD11/TOX,3
BP,GO:0045822,negative regulation of heart contraction,3/234,24/18805,0.125,10.045405982905983,4.9772531881181505,0.0031738761320940947,0.13038626272386553,0.11810611609613304,SPTBN4/BIN1/PDE4D,3
BP,GO:0002028,regulation of sodium ion transport,5/234,80/18805,0.0625,5.0227029914529915,4.047319167176632,0.0032221439205079717,0.1306042335779231,0.11830355783928216,SPTBN4/PRKCE/COMMD1/UTRN/FGF13,5
BP,GO:0030041,actin filament polymerization,7/234,156/18805,0.04487179487179487,3.6060431733508658,3.6688633459043336,0.0034332807976611836,0.13733123190644733,0.1243969884581947,ASB2/SSH2/SPIRE1/SPTBN4/PRKCE/ADD2/BIN1,7
BP,GO:0099173,postsynapse organization,9/234,243/18805,0.037037037037037035,2.9764165875276984,3.4808447027246188,0.0034889897735236467,0.1377471287209336,0.12477371493558251,EEF2K/CSMD2/LRP4/DCLK1/NLGN1/NEDD9/NRCAM/DOCK4/ARHGEF9,9
BP,GO:1902305,regulation of sodium ion transmembrane transport,4/234,51/18805,0.0784313725490196,6.302999832411597,4.256720653047271,0.003694093024289857,0.14397490761334825,0.1304149440154152,PRKCE/COMMD1/UTRN/FGF13,4
BP,GO:0032409,regulation of transporter activity,8/234,202/18805,0.039603960396039604,3.1827028856731827,3.501016997400845,0.003872593705309696,0.1448802734939982,0.131235039979328,ITGB1/AKAP6/GNB5/WWP2/CACNB4/NLGN1/UTRN/FGF13,8
BP,GO:0023061,signal release,14/234,497/18805,0.028169014084507043,2.2637534609365595,3.205055139026438,0.0038917153360607244,0.1448802734939982,0.131235039979328,RPH3AL/CRY1/EIPR1/PRKCE/CACNB4/ABCA12/PLCB1/FOXA2/CADPS/ADCY5/NLGN1/CPE/MCTP1/LYN,14
BP,GO:0061351,neural precursor cell proliferation,7/234,160/18805,0.04375,3.515892094017094,3.5874529408719957,0.003945927852541115,0.1448802734939982,0.131235039979328,ITGB1/EML1/SMO/LYN/TOX/NFIB/FGF13,7
BP,GO:0051279,regulation of release of sequestered calcium ion into cytosol,5/234,84/18805,0.05952380952380952,4.783526658526658,3.9011021703659488,0.003975800763291616,0.1448802734939982,0.131235039979328,CACNA1C/AKAP6/PRKCE/PDE4D/LYN,5
BP,GO:0007599,hemostasis,9/234,248/18805,0.036290322580645164,2.916408188585608,3.4101648951742605,0.0039867223281745854,0.1448802734939982,0.131235039979328,TSPAN18/ADAMTS18/FOXA2/PDGFRA/METAP1/ITPR3/LYN/GNAQ/PRRG1,9
BP,GO:1903523,negative regulation of blood circulation,3/234,26/18805,0.11538461538461539,9.272682445759369,4.738187054643327,0.00400327071496574,0.1448802734939982,0.131235039979328,SPTBN4/BIN1/PDE4D,3
BP,GO:2000179,positive regulation of neural precursor cell proliferation,4/234,53/18805,0.07547169811320754,6.065150782131914,4.144975050641081,0.004245867135254672,0.1518521893079318,0.1375503210628634,ITGB1/SMO/LYN/TOX,4
BP,GO:0035023,regulation of Rho protein signal transduction,5/234,86/18805,0.05813953488372093,4.672281852514411,3.831416056529975,0.004396426242318336,0.15403626444672497,0.13952869383401403,ITGB1/ARHGEF18/ARHGAP35/ARHGEF28/DLC1,5
BP,GO:0048732,gland development,13/234,451/18805,0.028824833702882482,2.3164572554816454,3.1764723157090735,0.004408274673310879,0.15403626444672497,0.13952869383401403,DEAF1/ALDH1A3/CDH1/FA2H/ARHGAP35/GLI2/CACNB4/PDGFRA/SLC6A3/PTCD2/SMO/NRG1/NFIB,13
BP,GO:0010543,regulation of platelet activation,4/234,54/18805,0.07407407407407407,5.952833175055397,4.091228800798331,0.00454151929875544,0.15688884850246065,0.14211261346344772,ADAMTS18/PDGFRA/LYN/GNAQ,4
BP,GO:1901379,regulation of potassium ion transmembrane transport,5/234,87/18805,0.05747126436781609,4.61857746340505,3.7973723504413406,0.0046182094903403316,0.1577455825914001,0.14288865791520175,RGS7/ITGB1/AKAP6/WWP2/BIN1,5
BP,GO:0048562,embryonic organ morphogenesis,10/234,302/18805,0.033112582781456956,2.6610346974585384,3.266453699045071,0.004692787778015412,0.15851194272407615,0.14358284008524347,ASB2/MYO7A/LRIG3/STRC/ALDH1A3/ANKRD24/PDGFRA/MTHFD1L/SMO/PAX5,10
BP,GO:0050885,neuromuscular process controlling balance,4/234,55/18805,0.07272727272727272,5.844599844599844,4.038815595619124,0.004850722970915854,0.16204613001740875,0.1467841676334977,CAMTA1/MYO7A/ALDH1A3/ADCY5,4
BP,GO:0060117,auditory receptor cell development,3/234,28/18805,0.10714285714285714,8.610347985347985,4.523617056884834,0.00495287630867152,0.16366026063436326,0.14824627486824596,MYO7A/STRC/ANKRD24,3
BP,GO:0099003,vesicle-mediated transport in synapse,9/234,258/18805,0.03488372093023256,2.8033691115086463,3.2739575847479636,0.0051479150997799485,0.16484511437588878,0.1493195357366084,RPH3AL/AP3M1/BIN1/CACNB4/CADPS/NLGN1/SNAP91/SYNE1/NRG1,9
BP,GO:0002688,regulation of leukocyte chemotaxis,6/234,127/18805,0.047244094488188976,3.796688875429033,3.5497374694420443,0.005159454809593407,0.16484511437588878,0.1493195357366084,CMKLR1/RIN3/DPP4/DEFB124/NEDD9/LYN,6
BP,GO:0030833,regulation of actin filament polymerization,6/234,127/18805,0.047244094488188976,3.796688875429033,3.5497374694420443,0.005159454809593407,0.16484511437588878,0.1493195357366084,ASB2/SSH2/SPTBN4/PRKCE/ADD2/BIN1,6
