category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Cellular Processes,Cell motility,hsa04810,Regulation of actin cytoskeleton,6/116,232/9500,0.02586206896551724,2.118014268727705,1.9167799816724018,0.0644303402283861,0.3260922744331421,0.28029995549987397,ITGB1/SSH2/ARHGAP35/ITGA9/PDGFRA/ARHGEF6,6
Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,6/116,233/9500,0.02575107296137339,2.108924078733166,1.9053910967396133,0.06550325163285824,0.3260922744331421,0.28029995549987397,OBSCN/ITGB1/SPTBN4/ITGA9/SYNPO2/SYNE1,6
Metabolism,Carbohydrate metabolism,hsa00562,Inositol phosphate metabolism,3/116,78/9500,0.038461538461538464,3.1498673740053054,2.119636352803343,0.06986911863741896,0.3333339201660196,0.28652467511397695,INPP4A/PLCB1/MTMR7,3
Human Diseases,Infectious disease: bacterial,hsa05100,Bacterial invasion of epithelial cells,3/116,78/9500,0.038461538461538464,3.1498673740053054,2.119636352803343,0.06986911863741896,0.3333339201660196,0.28652467511397695,ITGB1/CDH1/ARHGAP10,3
Organismal Systems,Development and regeneration,hsa04360,Axon guidance,5/116,184/9500,0.02717391304347826,2.225449775112444,1.866223384158823,0.07450711355575555,0.33665905257433687,0.2893828675311469,ITGB1/SSH2/BOC/UNC5C/SMO,5
Human Diseases,Infectious disease: parasitic,hsa05143,African trypanosomiasis,2/116,37/9500,0.05405405405405406,4.426840633737186,2.3219576199265557,0.07466092076429831,0.33665905257433687,0.2893828675311469,PLCB1/GNAQ,2
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,8/116,362/9500,0.022099447513812154,1.8098685463897886,1.74669541201407,0.07497647022397895,0.33665905257433687,0.2893828675311469,LAMC1/ITGB1/GNB5/PHLPP1/JAK3/IL2RB/ITGA9/PDGFRA,8
Cellular Processes,Transport and catabolism,hsa04146,Peroxisome,3/116,83/9500,0.03614457831325301,2.9601163273784796,1.9940614891679092,0.08084601417364273,0.35603340857238824,0.3060365313860565,FAR1/PEX5L/PEX7,3
Organismal Systems,Sensory system,hsa04742,Taste transduction,3/116,86/9500,0.03488372093023256,2.8568564554931837,1.923155491627891,0.08776979043548722,0.3621265272759971,0.3112740087364351,CACNA1C/PLCB1/ITPR3,3
Human Diseases,Infectious disease: bacterial,hsa05135,Yersinia infection,4/116,138/9500,0.028985507246376812,2.3738130934532733,1.807410558095312,0.08833366842753368,0.3621265272759971,0.3112740087364351,ITGB1/ARHGEF28/RPS6KA2/GNAQ,4
Human Diseases,Infectious disease: bacterial,hsa05131,Shigellosis,6/116,253/9500,0.023715415019762844,1.9422107128254054,1.6888139530682338,0.08916154378315827,0.3621265272759971,0.3112740087364351,ITGB1/HK1/PRKCE/PLCB1/ITPR3/SEPTIN7,6
Organismal Systems,Circulatory system,hsa04260,Cardiac muscle contraction,3/116,87/9500,0.034482758620689655,2.8240190249702737,1.9001981882533514,0.09013197876510762,0.3621265272759971,0.3112740087364351,CACNA1C/CACNB4/COX7B2,3
Organismal Systems,Endocrine system,hsa04915,Estrogen signaling pathway,4/116,139/9500,0.02877697841726619,2.3567353014140413,1.7914939325183517,0.09013629718223509,0.3621265272759971,0.3112740087364351,PLCB1/ADCY5/ITPR3/GNAQ,4
Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,3/116,89/9500,0.033707865168539325,2.760557923285548,1.8552454436647667,0.09493567425964893,0.3736791644427033,0.3212043380868101,LAMC1/ITGB1/ITGA9,3
NA,NA,hsa04082,Neuroactive ligand signaling,5/116,199/9500,0.02512562814070352,2.057702304626581,1.6764828132837322,0.09627541791318557,0.3736791644427033,0.3212043380868101,GNB5/PLCB1/ADCY5/SLC6A3/GNAQ,5
Human Diseases,Substance dependence,hsa05032,Morphine addiction,3/116,91/9500,0.03296703296703297,2.6998863205759758,1.8115185259619417,0.09984277743238013,0.38106660053358415,0.32755437508517693,GNB5/ADCY5/PDE4D,3
