gene_id	gene_name	A_1	A_2	A_3	A_4	A_5	A_6	B_1	B_2	B_3	B_4	B_5	B_6	C_1	C_2	C_3	C_4	C_5	C_6
ENSG00000000003.16	TSPAN6	1010.27023247431	1004.41826044745	1262.84345478964	1355.50471390106	1117.43121589377	1538.94652275103	550.636390626737	383.892715051959	507.202565814129	587.90166622799	424.646358069642	511.375199674188	481.637127019859	401.841488060187	424.164662071122	492.737052756021	598.515948060688	713.895023629673
ENSG00000000005.6	TNMD	0	0	0	0	1.66653610964085	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419.14	DPM1	1679.29604475599	1862.26137371728	2269.20120587796	1776.50628447648	1942.35889809487	2015.17663278422	2695.88563438926	2650.6374618671	2629.73584138241	2224.23039783727	2441.19877574485	2439.32337275588	1951.20990395869	2053.85108197715	1862.05803045036	1277.272862808	1546.68909574704	1668.0630042107
ENSG00000000457.14	SCYL3	108.456572791112	141.572677115084	124.066865686475	117.413889393974	116.560332673112	114.093418628274	114.673792461277	102.163174389974	108.879968746843	129.38773627613	102.931998054231	88.3106667021129	106.309735368044	115.738295106828	86.619986063401	57.7809540875368	84.7055786949171	82.603031738286
ENSG00000000460.17	FIRRM	85.5711004507418	90.1013119930804	129.292093596945	80.4886692720616	78.2516774033261	84.6344885119374	245.029275068708	197.470462253844	244.670866813859	256.978710195287	202.419857293077	215.373424619727	195.280219898761	145.696807606165	187.512371381805	62.3985730995994	72.5925990766083	89.8011959778315
ENSG00000000938.13	FGR	3.49617036412286	7.89498648615611	11.5350361243369	3.51254672065221	8.12465099591985	3.61753543059054	12.7758750541965	0	6.18018367497429	2.68023244429855	0.64037299425487	2.61922213545421	3.14513378937741	5.81220418589936	6.12335133820015	0.820003286324764	0.864622611130593	3.56316181048942
ENSG00000000971.17	CFH	253.209140448553	217.575061008246	327.974014588003	264.637589427355	265.34098024141	395.379752739571	414.58987503263	317.56674279794	379.681501337052	483.20984963781	404.208513127977	342.163328804482	299.767503920074	275.887662423078	163.940227123868	107.182838187215	163.685812202363	177.515933839385
ENSG00000001036.14	FUCA2	947.953457979921	1445.8309451867	1318.02427979926	985.186234610522	1218.94643898723	1228.05258064766	2327.23706378518	2468.07675463732	2076.98623985941	2045.37168241738	2278.58741081863	1783.60866419944	1311.439484436	2031.91241766961	1218.03942850906	671.875208134768	1218.59507549774	752.436564259292
ENSG00000001084.13	GCLC	793.432790810336	723.198435525651	925.921884275011	772.169225149101	634.182530922267	890.230338923614	820.158541273477	571.996452693424	526.483086713283	732.149052813843	525.980753238792	556.320679800606	654.835502994815	559.2023874529	634.720899142764	464.901087950789	392.342776636185	547.665344580358
ENSG00000001167.15	NFYA	378.782943958909	500.429515240115	478.392544353846	367.22794259175	504.474386912739	489.031124510287	393.933112613803	427.071578281534	487.536728804986	373.389743660461	501.097740209053	438.044420031003	370.54509038135	575.16488276851	582.993109768342	453.588379554123	784.043810022199	682.577043607911
ENSG00000001460.18	STPG1	80.7420565378911	101.678922978851	105.291670920621	124.512397458297	128.450344998614	86.99187068511	224.672124352653	136.455193444444	169.188476629074	231.653597152411	206.00965099825	123.435265245502	186.300722644633	194.57114777469	133.083795055663	261.685594722291	215.65690198822	142.758210505697
ENSG00000001461.17	NIPAL3	574.077195047164	599.676300643404	622.014677595134	586.672161475125	447.664027341113	587.75656026372	351.702880409722	367.192464473638	415.25496963512	476.251855159365	299.717051249582	342.179193403486	526.81348377217	578.557564833993	345.369694160123	504.019330892975	570.07069046074	406.899405184084
ENSG00000001497.18	LAS1L	396.120971329059	405.167891495486	430.708155857359	433.660440886683	403.471757094749	472.902650221692	883.170966063605	835.857845428338	818.811385969885	782.255273394656	778.539794006415	758.309709661173	617.811793778057	600.189623950498	585.707965239245	485.589111542469	501.114317431274	437.122140399291
ENSG00000001561.7	ENPP4	2.43953750040213	3.85462811991798	2.73476278175212	2.33613211935242	4.53869202610389	5.15364336069471	29.4310032009842	22.5228837934084	23.640826461133	17.887711702538	12.1384825951547	15.0110083069726	4.07583568145522	5.88290796935649	6.63563263851853	2.97499013483562	1.38857734131021	3.34531472249451
ENSG00000001617.12	SEMA3F	402.51670228823	638.990460329714	812.471499242687	290.998693417896	358.158189058308	598.295744305004	1174.14702725164	1637.27490641076	1488.24968625337	952.295180236944	1161.94120949104	1147.8583375888	616.39385577906	947.430498409106	791.463887418806	1276.86191021922	1362.6418533479	931.981278374912
ENSG00000001626.18	CFTR	0	0	0	0	0	0	0.603277910558829	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001629.10	ANKIB1	527.160561650625	725.44472677349	464.774524916652	559.542524603936	546.213811635002	427.786195069396	712.272574060161	652.617164318983	480.121430475857	758.212675044857	613.111011896786	455.840794512992	760.745385452262	767.630377244728	436.698209373518	738.154186861764	917.262721843922	473.019167161849
ENSG00000001630.18	CYP51A1	580.44367032121	718.343591988597	651.07726752651	530.729138678936	647.461371800065	660.313466072963	1813.43367802743	1500.33234207186	1475.49942396734	1607.37933872161	1491.0609946418	1423.57441466765	1046.20119075499	1145.2577519965	913.219007402637	938.225738617651	1066.94015465205	873.766641847817
ENSG00000001631.17	KRIT1	439.317621926285	507.129385631903	474.013897971547	421.910715081944	393.937738923645	510.623902980544	687.161856789548	511.66883241236	580.474330340843	537.182337609735	504.498896908167	465.171378926823	557.099743871081	475.362427451012	495.58744229091	346.247857293856	348.22185143649	393.353900340183
ENSG00000002016.18	RAD52	152.527955485605	186.38590311002	177.377726785188	132.270440310882	143.481603563609	111.182495355922	203.048248961021	228.987297620365	168.70511048454	190.227465353973	153.15557176833	124.817077608693	135.184481313741	119.679347986702	115.191361594524	111.419906053677	164.845065632053	122.521472260366
ENSG00000002079.15	MYH16	0	0.27528704946766	0	0	0	0	1.3930630519211	4.99364835530351	0.554448472314783	0.843449812449671	1.9081638096912	2.46856634491876	0	0.98388879439473	0.274336124061754	0	3.95389134875601	0
ENSG00000002330.14	BAD	1647.86634002719	1638.79419476663	1636.00172829074	2119.57696292209	1493.71155444563	1757.17865762805	2104.72586086268	2119.90019716118	2144.16143954898	2360.20442902922	1933.13481498291	2040.02673039065	2026.34669957303	2282.14177037043	1949.53100558105	2247.14964477612	2617.17531654442	2505.77145351988
