category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Endocrine and metabolic disease,hsa04950,Maturity onset diabetes of the young,1/4,26/9376,0.038461538461538464,90.15384615384616,9.404169454414296,0.011047857253997706,0.08838285803198165,0.08140526397682521,PAX6,1
Cellular Processes,Cellular community - eukaryotes,hsa04550,Signaling pathways regulating pluripotency of stem cells,1/4,144/9376,0.006944444444444444,16.27777777777778,3.8167439931843394,0.06004199136805122,0.1846352384965491,0.17005877229945313,PAX6,1
Cellular Processes,Cell motility,hsa04814,Motor proteins,1/4,194/9376,0.005154639175257732,12.082474226804123,3.222318351246977,0.0802434578876895,0.1846352384965491,0.17005877229945313,DNAH7,1
Environmental Information Processing,Signal transduction,hsa04014,Ras signaling pathway,1/4,238/9376,0.004201680672268907,9.848739495798318,2.8565629916029716,0.09774981467383204,0.1846352384965491,0.17005877229945313,KSR2,1
Human Diseases,Neurodegenerative disease,hsa05016,Huntington disease,1/4,308/9376,0.003246753246753247,7.6103896103896105,2.436947390349299,0.12508430157343453,0.1846352384965491,0.17005877229945313,DNAH7,1
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,1/4,368/9376,0.002717391304347826,6.369565217391304,2.170942576295972,0.1480153725799026,0.1846352384965491,0.17005877229945313,DNAH7,1
NA,NA,hsa04519,Cadherin signaling,1/4,404/9376,0.0024752475247524753,5.801980198019802,2.0382896950225184,0.16155583368448045,0.1846352384965491,0.17005877229945313,FAT2,1
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,1/4,480/9376,0.0020833333333333333,4.883333333333333,1.8043774715979966,0.18961069135538777,0.18961069135538777,0.1746414262483835,DNAH7,1
