Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
Crizotinib BOSS,1/22,0.01746189687341111,0.5221141888041183,0,0,63.37460317460317,256.52354192445085,SH3PXD2A
"Salicylate, sodium BOSS",1/46,0.036185096144207514,0.5221141888041183,0,0,29.53925925925926,98.04399035231516,SH3PXD2A
Lenalidomide BOSS,1/49,0.03850183520662026,0.5221141888041183,0,0,27.68888888888889,90.18407814256837,SH3PXD2A
Lapatinib BOSS,1/55,0.04311966044654766,0.5221141888041183,0,0,24.604938271604937,77.3524200057788,SH3PXD2A
orciprenaline PC3 UP,1/63,0.04924442416326195,0.5221141888041183,0,0,21.421505376344086,64.49927724978124,ANXA10
